0,1,47.32944439999999,-122.5788889,0,0,4,1,0,0,0,0,1,0,0,1,0,0
0,1,52.664913,-1.034894,1,0,4,1,0,0,0,1,0,0,0,1,0,0
0,1,38.951666700000004,-92.3338889,0,0,49,1,1,0,0,0,0,0,0,1,0,0
0,1,41.4969444,-71.3677778,0,0,13,1,0,0,0,1,0,0,0,1,0,0
0,1,47.6063889,-122.33083329999998,0,0,17,0,0,0,1,0,0,0,0,1,0,0
0,1,33.916388899999994,-118.35166670000001,0,0,65,1,0,0,0,1,0,0,0,1,0,0
1,1,33.669444399999996,-117.82222220000001,0,0,80,0,0,0,0,1,0,0,0,0,0,1
2,1,44.716667,-75.516667,0,0,33,1,0,0,0,0,1,0,0,1,0,0
0,1,40.8666667,-124.08166670000001,0,0,22,1,0,0,0,1,0,0,0,0,0,1
0,1,47.1302778,-119.27694440000002,0,0,72,0,0,1,0,0,0,0,0,1,0,0
2,1,51.783333,-0.783333,0,0,39,0,0,0,1,0,0,0,0,1,0,0
0,1,41.36144,-81.812912,0,0,66,1,0,1,0,0,0,0,0,1,0,0
2,1,38.2541667,-85.7594444,0,0,13,1,0,0,0,0,0,1,0,1,0,0
1,1,39.063658000000004,-77.298777,0,0,79,0,0,0,1,0,0,0,0,1,0,0
0,1,37.775,-122.41833329999999,0,0,99,0,0,0,0,0,0,0,1,1,0,0
0,1,39.9777778,-85.6147222,0,0,91,0,0,0,0,1,0,0,0,1,0,0
2,1,33.902222200000004,-118.08083329999998,0,0,51,1,0,0,0,0,1,0,0,1,0,0
0,1,38.2325,-122.63555559999999,0,0,13,1,1,0,0,0,0,0,0,1,0,0
0,1,-38.662334,178.017649,0,0,34,1,0,0,0,0,0,0,1,1,0,0
0,1,41.999444399999994,-88.145,0,0,20,0,0,0,0,0,0,1,0,1,0,0
0,1,28.698611100000004,-81.3083333,0,0,86,0,1,0,0,0,0,0,0,1,0,0
0,1,27.896111100000002,-81.8433333,0,0,37,1,0,0,0,0,0,1,0,1,0,0
2,1,42.6375,-70.95,0,0,49,1,0,0,0,0,0,0,1,0,1,0
0,1,43.9627778,-70.2830556,0,0,83,1,1,0,0,0,0,0,0,1,0,0
2,1,45.523611100000004,-122.675,0,0,66,0,0,0,0,1,0,0,0,0,1,0
